Country,date,vaccine,total_vaccinations
Italy,2021/5/10,Johnson&Johnson,193262
Italy,2021/5/10,Moderna,1993423
Italy,2021/5/10,Oxford/AstraZeneca,5407055
Italy,2021/5/10,Pfizer/BioNTech,17260094
Italy,2021/5/11,Johnson&Johnson,203321
Italy,2021/5/11,Moderna,2059549
Italy,2021/5/11,Oxford/AstraZeneca,5510354
Italy,2021/5/11,Pfizer/BioNTech,17539068
Italy,2021/5/12,Johnson&Johnson,212269
Italy,2021/5/12,Moderna,2121942
Italy,2021/5/12,Oxford/AstraZeneca,5611567
Italy,2021/5/12,Pfizer/BioNTech,17852194
Italy,2021/5/13,Johnson&Johnson,220512
Italy,2021/5/13,Moderna,2170804
Italy,2021/5/13,Oxford/AstraZeneca,5704355
Italy,2021/5/13,Pfizer/BioNTech,18232506
Italy,2021/5/14,Johnson&Johnson,228668
Italy,2021/5/14,Moderna,2221232
Italy,2021/5/14,Oxford/AstraZeneca,5802065
Italy,2021/5/14,Pfizer/BioNTech,18632091
Italy,2021/5/15,Johnson&Johnson,246622
Italy,2021/5/15,Moderna,2276634
Italy,2021/5/15,Oxford/AstraZeneca,5898477
Italy,2021/5/15,Pfizer/BioNTech,19007928
Italy,2021/5/16,Johnson&Johnson,262867
Italy,2021/5/16,Moderna,2312074
Italy,2021/5/16,Oxford/AstraZeneca,5977798
Italy,2021/5/16,Pfizer/BioNTech,19287407
Italy,2021/5/17,Johnson&Johnson,280864
Italy,2021/5/17,Moderna,2357867
Italy,2021/5/17,Oxford/AstraZeneca,6058724
Italy,2021/5/17,Pfizer/BioNTech,19610686
Italy,2021/5/18,Johnson&Johnson,299043
Italy,2021/5/18,Moderna,2411251
Italy,2021/5/18,Oxford/AstraZeneca,6156349
Italy,2021/5/18,Pfizer/BioNTech,19911769
Italy,2021/5/19,Johnson&Johnson,317484
Italy,2021/5/19,Moderna,2466848
Italy,2021/5/19,Oxford/AstraZeneca,6257967
Italy,2021/5/19,Pfizer/BioNTech,20224209
Italy,2021/5/20,Johnson&Johnson,337544
Italy,2021/5/20,Moderna,2507548
Italy,2021/5/20,Oxford/AstraZeneca,6348065
Italy,2021/5/20,Pfizer/BioNTech,20628085
Italy,2021/5/21,Johnson&Johnson,356204
Italy,2021/5/21,Moderna,2552809
Italy,2021/5/21,Oxford/AstraZeneca,6443579
Italy,2021/5/21,Pfizer/BioNTech,21041232
Italy,2021/5/22,Johnson&Johnson,394567
Italy,2021/5/22,Moderna,2619294
Italy,2021/5/22,Oxford/AstraZeneca,6530042
Italy,2021/5/22,Pfizer/BioNTech,21373303
Italy,2021/5/23,Johnson&Johnson,430548
Italy,2021/5/23,Moderna,2674622
Italy,2021/5/23,Oxford/AstraZeneca,6590563
Italy,2021/5/23,Pfizer/BioNTech,21629557
Italy,2021/5/24,Johnson&Johnson,463057
Italy,2021/5/24,Moderna,2744535
Italy,2021/5/24,Oxford/AstraZeneca,6671464
Italy,2021/5/24,Pfizer/BioNTech,21911339
Italy,2021/5/25,Johnson&Johnson,492457
Italy,2021/5/25,Moderna,2843011
Italy,2021/5/25,Oxford/AstraZeneca,6773498
Italy,2021/5/25,Pfizer/BioNTech,22161660
Italy,2021/5/26,Johnson&Johnson,523541
Italy,2021/5/26,Moderna,2951342
Italy,2021/5/26,Oxford/AstraZeneca,6880313
Italy,2021/5/26,Pfizer/BioNTech,22443693
Italy,2021/5/27,Johnson&Johnson,545627
Italy,2021/5/27,Moderna,3028509
Italy,2021/5/27,Oxford/AstraZeneca,6980480
Italy,2021/5/27,Pfizer/BioNTech,22835380
Italy,2021/5/28,Johnson&Johnson,566127
Italy,2021/5/28,Moderna,3091777
Italy,2021/5/28,Oxford/AstraZeneca,7079315
Italy,2021/5/28,Pfizer/BioNTech,23248252
Italy,2021/5/29,Johnson&Johnson,585195
Italy,2021/5/29,Moderna,3149148
Italy,2021/5/29,Oxford/AstraZeneca,7155217
Italy,2021/5/29,Pfizer/BioNTech,23621216
Italy,2021/5/30,Johnson&Johnson,604090
Italy,2021/5/30,Moderna,3189444
Italy,2021/5/30,Oxford/AstraZeneca,7205773
Italy,2021/5/30,Pfizer/BioNTech,23914125
Italy,2021/5/31,Johnson&Johnson,660629
Italy,2021/5/31,Moderna,3276647
Italy,2021/5/31,Oxford/AstraZeneca,7281807
Italy,2021/5/31,Pfizer/BioNTech,24174751
Italy,2021/6/1,Johnson&Johnson,727838
Italy,2021/6/1,Moderna,3359321
Italy,2021/6/1,Oxford/AstraZeneca,7348475
Italy,2021/6/1,Pfizer/BioNTech,24427335
Italy,2021/6/2,Johnson&Johnson,765754
Italy,2021/6/2,Moderna,3406593
Italy,2021/6/2,Oxford/AstraZeneca,7386427
Italy,2021/6/2,Pfizer/BioNTech,24716655
Italy,2021/6/3,Johnson&Johnson,803674
Italy,2021/6/3,Moderna,3459523
Italy,2021/6/3,Oxford/AstraZeneca,7451182
Italy,2021/6/3,Pfizer/BioNTech,25159126
Italy,2021/6/4,Johnson&Johnson,851605
Italy,2021/6/4,Moderna,3517941
Italy,2021/6/4,Oxford/AstraZeneca,7514088
Italy,2021/6/4,Pfizer/BioNTech,25623176
Italy,2021/6/5,Johnson&Johnson,908909
Italy,2021/6/5,Moderna,3562043
Italy,2021/6/5,Oxford/AstraZeneca,7579722
Italy,2021/6/5,Pfizer/BioNTech,26075193
Italy,2021/6/6,Johnson&Johnson,957997
Italy,2021/6/6,Moderna,3592478
Italy,2021/6/6,Oxford/AstraZeneca,7647516
Italy,2021/6/6,Pfizer/BioNTech,26440584
Italy,2021/6/7,Johnson&Johnson,995350
Italy,2021/6/7,Moderna,3638841
Italy,2021/6/7,Oxford/AstraZeneca,7723216
Italy,2021/6/7,Pfizer/BioNTech,26852841
Italy,2021/6/8,Johnson&Johnson,1036316
Italy,2021/6/8,Moderna,3700189
Italy,2021/6/8,Oxford/AstraZeneca,7803967
Italy,2021/6/8,Pfizer/BioNTech,27252558
Italy,2021/6/9,Johnson&Johnson,1074777
Italy,2021/6/9,Moderna,3767709
Italy,2021/6/9,Oxford/AstraZeneca,7890299
Italy,2021/6/9,Pfizer/BioNTech,27655025
Italy,2021/6/10,Johnson&Johnson,1107705
Italy,2021/6/10,Moderna,3810795
Italy,2021/6/10,Oxford/AstraZeneca,7965647
Italy,2021/6/10,Pfizer/BioNTech,28138092
Italy,2021/6/11,Johnson&Johnson,1131701
Italy,2021/6/11,Moderna,3850181
Italy,2021/6/11,Oxford/AstraZeneca,8029581
Italy,2021/6/11,Pfizer/BioNTech,28634260
Italy,2021/6/12,Johnson&Johnson,1146907
Italy,2021/6/12,Moderna,3895811
Italy,2021/6/12,Oxford/AstraZeneca,8056626
Italy,2021/6/12,Pfizer/BioNTech,29113390
Italy,2021/6/13,Johnson&Johnson,1152644
Italy,2021/6/13,Moderna,3945383
Italy,2021/6/13,Oxford/AstraZeneca,8074118
Italy,2021/6/13,Pfizer/BioNTech,29476422
Italy,2021/6/14,Johnson&Johnson,1159505
Italy,2021/6/14,Moderna,4000725
Italy,2021/6/14,Oxford/AstraZeneca,8105919
Italy,2021/6/14,Pfizer/BioNTech,29916442
Italy,2021/6/15,Johnson&Johnson,1166618
Italy,2021/6/15,Moderna,4078123
Italy,2021/6/15,Oxford/AstraZeneca,8143482
Italy,2021/6/15,Pfizer/BioNTech,30331342
Italy,2021/6/16,Johnson&Johnson,1174650
Italy,2021/6/16,Moderna,4165528
Italy,2021/6/16,Oxford/AstraZeneca,8188270
Italy,2021/6/16,Pfizer/BioNTech,30749390
Italy,2021/6/17,Johnson&Johnson,1182587
Italy,2021/6/17,Moderna,4234859
Italy,2021/6/17,Oxford/AstraZeneca,8231005
Italy,2021/6/17,Pfizer/BioNTech,31234655
Italy,2021/6/18,Johnson&Johnson,1188538
Italy,2021/6/18,Moderna,4291314
Italy,2021/6/18,Oxford/AstraZeneca,8273057
Italy,2021/6/18,Pfizer/BioNTech,31740107
Italy,2021/6/19,Johnson&Johnson,1193043
Italy,2021/6/19,Moderna,4346884
Italy,2021/6/19,Oxford/AstraZeneca,8308196
Italy,2021/6/19,Pfizer/BioNTech,32204322
Italy,2021/6/20,Johnson&Johnson,1195602
Italy,2021/6/20,Moderna,4394506
Italy,2021/6/20,Oxford/AstraZeneca,8338475
Italy,2021/6/20,Pfizer/BioNTech,32561735
Italy,2021/6/21,Johnson&Johnson,1200466
Italy,2021/6/21,Moderna,4454979
Italy,2021/6/21,Oxford/AstraZeneca,8390565
Italy,2021/6/21,Pfizer/BioNTech,33003321
Italy,2021/6/22,Johnson&Johnson,1205663
Italy,2021/6/22,Moderna,4540198
Italy,2021/6/22,Oxford/AstraZeneca,8442107
Italy,2021/6/22,Pfizer/BioNTech,33433349
Italy,2021/6/23,Johnson&Johnson,1211332
Italy,2021/6/23,Moderna,4627120
Italy,2021/6/23,Oxford/AstraZeneca,8496128
Italy,2021/6/23,Pfizer/BioNTech,33855513
Italy,2021/6/24,Johnson&Johnson,1216805
Italy,2021/6/24,Moderna,4678957
Italy,2021/6/24,Oxford/AstraZeneca,8541194
Italy,2021/6/24,Pfizer/BioNTech,34365148
Italy,2021/6/25,Johnson&Johnson,1221862
Italy,2021/6/25,Moderna,4728959
Italy,2021/6/25,Oxford/AstraZeneca,8600924
Italy,2021/6/25,Pfizer/BioNTech,34868200
Italy,2021/6/26,Johnson&Johnson,1225450
Italy,2021/6/26,Moderna,4784279
Italy,2021/6/26,Oxford/AstraZeneca,8653252
Italy,2021/6/26,Pfizer/BioNTech,35312387
Italy,2021/6/27,Johnson&Johnson,1228727
Italy,2021/6/27,Moderna,4832084
Italy,2021/6/27,Oxford/AstraZeneca,8695437
Italy,2021/6/27,Pfizer/BioNTech,35650983
Italy,2021/6/28,Johnson&Johnson,1232745
Italy,2021/6/28,Moderna,4891763
Italy,2021/6/28,Oxford/AstraZeneca,8763308
Italy,2021/6/28,Pfizer/BioNTech,36079181
Italy,2021/6/29,Johnson&Johnson,1236417
Italy,2021/6/29,Moderna,4967386
Italy,2021/6/29,Oxford/AstraZeneca,8858376
Italy,2021/6/29,Pfizer/BioNTech,36468434
Italy,2021/6/30,Johnson&Johnson,1241210
Italy,2021/6/30,Moderna,5036908
Italy,2021/6/30,Oxford/AstraZeneca,8963394
Italy,2021/6/30,Pfizer/BioNTech,36862822
Italy,2021/7/1,Johnson&Johnson,1246279
Italy,2021/7/1,Moderna,5088028
Italy,2021/7/1,Oxford/AstraZeneca,9048063
Italy,2021/7/1,Pfizer/BioNTech,37291318
Italy,2021/7/2,Johnson&Johnson,1250467
Italy,2021/7/2,Moderna,5139922
Italy,2021/7/2,Oxford/AstraZeneca,9134068
Italy,2021/7/2,Pfizer/BioNTech,37704993
Italy,2021/7/3,Johnson&Johnson,1253179
Italy,2021/7/3,Moderna,5193014
Italy,2021/7/3,Oxford/AstraZeneca,9216473
Italy,2021/7/3,Pfizer/BioNTech,38094076
Italy,2021/7/4,Johnson&Johnson,1255631
Italy,2021/7/4,Moderna,5233276
Italy,2021/7/4,Oxford/AstraZeneca,9281241
Italy,2021/7/4,Pfizer/BioNTech,38401199
Italy,2021/7/5,Johnson&Johnson,1259852
Italy,2021/7/5,Moderna,5316236
Italy,2021/7/5,Oxford/AstraZeneca,9369008
Italy,2021/7/5,Pfizer/BioNTech,38766888
Italy,2021/7/6,Johnson&Johnson,1263890
Italy,2021/7/6,Moderna,5390320
Italy,2021/7/6,Oxford/AstraZeneca,9461399
Italy,2021/7/6,Pfizer/BioNTech,39134987
Italy,2021/7/7,Johnson&Johnson,1267162
Italy,2021/7/7,Moderna,5461012
Italy,2021/7/7,Oxford/AstraZeneca,9569136
Italy,2021/7/7,Pfizer/BioNTech,39501871
Italy,2021/7/8,Johnson&Johnson,1270431
Italy,2021/7/8,Moderna,5510195
Italy,2021/7/8,Oxford/AstraZeneca,9666769
Italy,2021/7/8,Pfizer/BioNTech,39937580
Italy,2021/7/9,Johnson&Johnson,1273409
Italy,2021/7/9,Moderna,5562151
Italy,2021/7/9,Oxford/AstraZeneca,9771531
Italy,2021/7/9,Pfizer/BioNTech,40376806
Italy,2021/7/10,Johnson&Johnson,1275331
Italy,2021/7/10,Moderna,5605274
Italy,2021/7/10,Oxford/AstraZeneca,9872445
Italy,2021/7/10,Pfizer/BioNTech,40800039
Italy,2021/7/11,Johnson&Johnson,1277159
Italy,2021/7/11,Moderna,5636807
Italy,2021/7/11,Oxford/AstraZeneca,9935008
Italy,2021/7/11,Pfizer/BioNTech,41115444
Italy,2021/7/12,Johnson&Johnson,1280546
Italy,2021/7/12,Moderna,5695679
Italy,2021/7/12,Oxford/AstraZeneca,10038196
Italy,2021/7/12,Pfizer/BioNTech,41517164
Italy,2021/7/13,Johnson&Johnson,1283596
Italy,2021/7/13,Moderna,5767580
Italy,2021/7/13,Oxford/AstraZeneca,10129681
Italy,2021/7/13,Pfizer/BioNTech,41922484
Italy,2021/7/14,Johnson&Johnson,1287545
Italy,2021/7/14,Moderna,5848731
Italy,2021/7/14,Oxford/AstraZeneca,10227030
Italy,2021/7/14,Pfizer/BioNTech,42307490
Italy,2021/7/15,Johnson&Johnson,1291570
Italy,2021/7/15,Moderna,5915310
Italy,2021/7/15,Oxford/AstraZeneca,10319413
Italy,2021/7/15,Pfizer/BioNTech,42759012
Italy,2021/7/16,Johnson&Johnson,1295088
Italy,2021/7/16,Moderna,5976264
Italy,2021/7/16,Oxford/AstraZeneca,10411414
Italy,2021/7/16,Pfizer/BioNTech,43198988
Italy,2021/7/17,Johnson&Johnson,1297420
Italy,2021/7/17,Moderna,6036168
Italy,2021/7/17,Oxford/AstraZeneca,10494293
Italy,2021/7/17,Pfizer/BioNTech,43592046
Italy,2021/7/18,Johnson&Johnson,1298905
Italy,2021/7/18,Moderna,6091325
Italy,2021/7/18,Oxford/AstraZeneca,10561999
Italy,2021/7/18,Pfizer/BioNTech,43912686
Italy,2021/7/19,Johnson&Johnson,1302093
Italy,2021/7/19,Moderna,6155519
Italy,2021/7/19,Oxford/AstraZeneca,10655461
Italy,2021/7/19,Pfizer/BioNTech,44326519
Italy,2021/7/20,Johnson&Johnson,1305589
Italy,2021/7/20,Moderna,6230493
Italy,2021/7/20,Oxford/AstraZeneca,10753572
Italy,2021/7/20,Pfizer/BioNTech,44717593
Italy,2021/7/21,Johnson&Johnson,1310747
Italy,2021/7/21,Moderna,6318084
Italy,2021/7/21,Oxford/AstraZeneca,10862163
Italy,2021/7/21,Pfizer/BioNTech,45100606
Italy,2021/7/22,Johnson&Johnson,1315309
Italy,2021/7/22,Moderna,6392459
Italy,2021/7/22,Oxford/AstraZeneca,10972294
Italy,2021/7/22,Pfizer/BioNTech,45516291
Italy,2021/7/23,Johnson&Johnson,1319848
Italy,2021/7/23,Moderna,6464482
Italy,2021/7/23,Oxford/AstraZeneca,11081084
Italy,2021/7/23,Pfizer/BioNTech,45918621
Italy,2021/7/24,Johnson&Johnson,1324289
Italy,2021/7/24,Moderna,6536034
Italy,2021/7/24,Oxford/AstraZeneca,11166918
Italy,2021/7/24,Pfizer/BioNTech,46251856
Italy,2021/7/25,Johnson&Johnson,1327008
Italy,2021/7/25,Moderna,6585167
Italy,2021/7/25,Oxford/AstraZeneca,11224474
Italy,2021/7/25,Pfizer/BioNTech,46505579
Italy,2021/7/26,Johnson&Johnson,1332250
Italy,2021/7/26,Moderna,6661771
Italy,2021/7/26,Oxford/AstraZeneca,11310770
Italy,2021/7/26,Pfizer/BioNTech,46902463
Italy,2021/7/27,Johnson&Johnson,1338349
Italy,2021/7/27,Moderna,6744024
Italy,2021/7/27,Oxford/AstraZeneca,11390484
Italy,2021/7/27,Pfizer/BioNTech,47307827
Italy,2021/7/28,Johnson&Johnson,1345127
Italy,2021/7/28,Moderna,6847786
Italy,2021/7/28,Oxford/AstraZeneca,11469752
Italy,2021/7/28,Pfizer/BioNTech,47657215
Italy,2021/7/29,Johnson&Johnson,1350899
Italy,2021/7/29,Moderna,6951953
Italy,2021/7/29,Oxford/AstraZeneca,11538542
Italy,2021/7/29,Pfizer/BioNTech,48018228
Italy,2021/7/30,Johnson&Johnson,1356726
Italy,2021/7/30,Moderna,7056322
Italy,2021/7/30,Oxford/AstraZeneca,11596271
Italy,2021/7/30,Pfizer/BioNTech,48365888
Italy,2021/7/31,Johnson&Johnson,1360910
Italy,2021/7/31,Moderna,7144276
Italy,2021/7/31,Oxford/AstraZeneca,11643613
Italy,2021/7/31,Pfizer/BioNTech,48658784
Italy,2021/8/1,Johnson&Johnson,1363263
Italy,2021/8/1,Moderna,7214396
Italy,2021/8/1,Oxford/AstraZeneca,11679164
Italy,2021/8/1,Pfizer/BioNTech,48846459
Italy,2021/8/2,Johnson&Johnson,1367601
Italy,2021/8/2,Moderna,7302472
Italy,2021/8/2,Oxford/AstraZeneca,11726008
Italy,2021/8/2,Pfizer/BioNTech,49184772
Italy,2021/8/3,Johnson&Johnson,1371561
Italy,2021/8/3,Moderna,7388596
Italy,2021/8/3,Oxford/AstraZeneca,11762199
Italy,2021/8/3,Pfizer/BioNTech,49527018
Italy,2021/8/4,Johnson&Johnson,1375181
Italy,2021/8/4,Moderna,7483124
Italy,2021/8/4,Oxford/AstraZeneca,11801431
Italy,2021/8/4,Pfizer/BioNTech,49867279
Italy,2021/8/5,Johnson&Johnson,1378666
Italy,2021/8/5,Moderna,7569434
Italy,2021/8/5,Oxford/AstraZeneca,11834131
Italy,2021/8/5,Pfizer/BioNTech,50206475
Italy,2021/8/6,Johnson&Johnson,1382690
Italy,2021/8/6,Moderna,7652864
Italy,2021/8/6,Oxford/AstraZeneca,11867235
Italy,2021/8/6,Pfizer/BioNTech,50524920
Italy,2021/8/7,Johnson&Johnson,1385667
Italy,2021/8/7,Moderna,7721818
Italy,2021/8/7,Oxford/AstraZeneca,11893834
Italy,2021/8/7,Pfizer/BioNTech,50771371
Italy,2021/8/8,Johnson&Johnson,1387223
Italy,2021/8/8,Moderna,7780373
Italy,2021/8/8,Oxford/AstraZeneca,11910716
Italy,2021/8/8,Pfizer/BioNTech,50953801
Italy,2021/8/9,Johnson&Johnson,1390703
Italy,2021/8/9,Moderna,7866701
Italy,2021/8/9,Oxford/AstraZeneca,11932341
Italy,2021/8/9,Pfizer/BioNTech,51249543
Italy,2021/8/10,Johnson&Johnson,1394267
Italy,2021/8/10,Moderna,7951652
Italy,2021/8/10,Oxford/AstraZeneca,11952293
Italy,2021/8/10,Pfizer/BioNTech,51518272
Italy,2021/8/11,Johnson&Johnson,1398293
Italy,2021/8/11,Moderna,8027904
Italy,2021/8/11,Oxford/AstraZeneca,11971118
Italy,2021/8/11,Pfizer/BioNTech,51777568
Italy,2021/8/12,Johnson&Johnson,1401889
Italy,2021/8/12,Moderna,8090437
Italy,2021/8/12,Oxford/AstraZeneca,11986039
Italy,2021/8/12,Pfizer/BioNTech,52035074
Italy,2021/8/13,Johnson&Johnson,1404693
Italy,2021/8/13,Moderna,8141107
Italy,2021/8/13,Oxford/AstraZeneca,11997074
Italy,2021/8/13,Pfizer/BioNTech,52266879
Italy,2021/8/14,Johnson&Johnson,1405716
Italy,2021/8/14,Moderna,8172263
Italy,2021/8/14,Oxford/AstraZeneca,12002379
Italy,2021/8/14,Pfizer/BioNTech,52357811
Italy,2021/8/15,Johnson&Johnson,1406232
Italy,2021/8/15,Moderna,8183072
Italy,2021/8/15,Oxford/AstraZeneca,12004719
Italy,2021/8/15,Pfizer/BioNTech,52396884
Italy,2021/8/16,Johnson&Johnson,1408253
Italy,2021/8/16,Moderna,8229712
Italy,2021/8/16,Oxford/AstraZeneca,12014977
Italy,2021/8/16,Pfizer/BioNTech,52572709
Italy,2021/8/17,Johnson&Johnson,1411509
Italy,2021/8/17,Moderna,8283753
Italy,2021/8/17,Oxford/AstraZeneca,12030036
Italy,2021/8/17,Pfizer/BioNTech,52751102
Italy,2021/8/18,Johnson&Johnson,1415042
Italy,2021/8/18,Moderna,8337184
Italy,2021/8/18,Oxford/AstraZeneca,12042552
Italy,2021/8/18,Pfizer/BioNTech,52940819
Italy,2021/8/19,Johnson&Johnson,1418236
Italy,2021/8/19,Moderna,8391438
Italy,2021/8/19,Oxford/AstraZeneca,12055051
Italy,2021/8/19,Pfizer/BioNTech,53112911
Italy,2021/8/20,Johnson&Johnson,1420283
Italy,2021/8/20,Moderna,8447750
Italy,2021/8/20,Oxford/AstraZeneca,12065143
Italy,2021/8/20,Pfizer/BioNTech,53274894
Italy,2021/8/21,Johnson&Johnson,1421729
Italy,2021/8/21,Moderna,8490984
Italy,2021/8/21,Oxford/AstraZeneca,12073264
Italy,2021/8/21,Pfizer/BioNTech,53378178
Italy,2021/8/22,Johnson&Johnson,1423299
Italy,2021/8/22,Moderna,8520325
Italy,2021/8/22,Oxford/AstraZeneca,12080000
Italy,2021/8/22,Pfizer/BioNTech,53453552
Italy,2021/8/23,Johnson&Johnson,1426940
Italy,2021/8/23,Moderna,8598581
Italy,2021/8/23,Oxford/AstraZeneca,12091274
Italy,2021/8/23,Pfizer/BioNTech,53670572
Italy,2021/8/24,Johnson&Johnson,1429618
Italy,2021/8/24,Moderna,8664619
Italy,2021/8/24,Oxford/AstraZeneca,12097932
Italy,2021/8/24,Pfizer/BioNTech,53875702
Italy,2021/8/25,Johnson&Johnson,1432594
Italy,2021/8/25,Moderna,8731730
Italy,2021/8/25,Oxford/AstraZeneca,12103516
Italy,2021/8/25,Pfizer/BioNTech,54094491
Italy,2021/8/26,Johnson&Johnson,1435339
Italy,2021/8/26,Moderna,8792949
Italy,2021/8/26,Oxford/AstraZeneca,12108621
Italy,2021/8/26,Pfizer/BioNTech,54306918
Italy,2021/8/27,Johnson&Johnson,1437591
Italy,2021/8/27,Moderna,8865457
Italy,2021/8/27,Oxford/AstraZeneca,12112803
Italy,2021/8/27,Pfizer/BioNTech,54517950
Italy,2021/8/28,Johnson&Johnson,1439038
Italy,2021/8/28,Moderna,8926690
Italy,2021/8/28,Oxford/AstraZeneca,12114875
Italy,2021/8/28,Pfizer/BioNTech,54679931
Italy,2021/8/29,Johnson&Johnson,1439912
Italy,2021/8/29,Moderna,8963495
Italy,2021/8/29,Oxford/AstraZeneca,12116324
Italy,2021/8/29,Pfizer/BioNTech,54801355
Italy,2021/8/30,Johnson&Johnson,1442268
Italy,2021/8/30,Moderna,9047296
Italy,2021/8/30,Oxford/AstraZeneca,12119432
Italy,2021/8/30,Pfizer/BioNTech,55061891
Italy,2021/8/31,Johnson&Johnson,1444531
Italy,2021/8/31,Moderna,9126913
Italy,2021/8/31,Oxford/AstraZeneca,12122350
Italy,2021/8/31,Pfizer/BioNTech,55300638
Italy,2021/9/1,Johnson&Johnson,1446379
Italy,2021/9/1,Moderna,9215241
Italy,2021/9/1,Oxford/AstraZeneca,12125420
Italy,2021/9/1,Pfizer/BioNTech,55520696
Italy,2021/9/2,Johnson&Johnson,1448795
Italy,2021/9/2,Moderna,9295582
Italy,2021/9/2,Oxford/AstraZeneca,12127432
Italy,2021/9/2,Pfizer/BioNTech,55733780
Italy,2021/9/3,Johnson&Johnson,1450483
Italy,2021/9/3,Moderna,9375245
Italy,2021/9/3,Oxford/AstraZeneca,12129276
Italy,2021/9/3,Pfizer/BioNTech,55946000
Italy,2021/9/4,Johnson&Johnson,1451577
Italy,2021/9/4,Moderna,9439546
Italy,2021/9/4,Oxford/AstraZeneca,12130529
Italy,2021/9/4,Pfizer/BioNTech,56099596
Italy,2021/9/5,Johnson&Johnson,1452186
Italy,2021/9/5,Moderna,9488529
Italy,2021/9/5,Oxford/AstraZeneca,12131102
Italy,2021/9/5,Pfizer/BioNTech,56192249
Italy,2021/9/6,Johnson&Johnson,1453576
Italy,2021/9/6,Moderna,9574084
Italy,2021/9/6,Oxford/AstraZeneca,12132240
Italy,2021/9/6,Pfizer/BioNTech,56393318
Italy,2021/9/7,Johnson&Johnson,1454837
Italy,2021/9/7,Moderna,9662034
Italy,2021/9/7,Oxford/AstraZeneca,12133351
Italy,2021/9/7,Pfizer/BioNTech,56584854
Italy,2021/9/8,Johnson&Johnson,1456388
Italy,2021/9/8,Moderna,9744268
Italy,2021/9/8,Oxford/AstraZeneca,12134698
Italy,2021/9/8,Pfizer/BioNTech,56770730
Italy,2021/9/9,Johnson&Johnson,1457816
Italy,2021/9/9,Moderna,9823379
Italy,2021/9/9,Oxford/AstraZeneca,12135666
Italy,2021/9/9,Pfizer/BioNTech,56966871
Italy,2021/9/10,Johnson&Johnson,1458841
Italy,2021/9/10,Moderna,9896591
Italy,2021/9/10,Oxford/AstraZeneca,12136511
Italy,2021/9/10,Pfizer/BioNTech,57164717
Italy,2021/9/11,Johnson&Johnson,1459734
Italy,2021/9/11,Moderna,9941726
Italy,2021/9/11,Oxford/AstraZeneca,12137117
Italy,2021/9/11,Pfizer/BioNTech,57322866
Italy,2021/9/12,Johnson&Johnson,1460189
Italy,2021/9/12,Moderna,9967489
Italy,2021/9/12,Oxford/AstraZeneca,12137452
Italy,2021/9/12,Pfizer/BioNTech,57428077
Italy,2021/9/13,Johnson&Johnson,1460965
Italy,2021/9/13,Moderna,10023110
Italy,2021/9/13,Oxford/AstraZeneca,12138337
Italy,2021/9/13,Pfizer/BioNTech,57626727
Italy,2021/9/14,Johnson&Johnson,1461823
Italy,2021/9/14,Moderna,10077677
Italy,2021/9/14,Oxford/AstraZeneca,12139084
Italy,2021/9/14,Pfizer/BioNTech,57809139
Italy,2021/9/15,Johnson&Johnson,1462685
Italy,2021/9/15,Moderna,10123719
Italy,2021/9/15,Oxford/AstraZeneca,12139821
Italy,2021/9/15,Pfizer/BioNTech,57984354
Italy,2021/9/16,Johnson&Johnson,1463678
Italy,2021/9/16,Moderna,10167185
Italy,2021/9/16,Oxford/AstraZeneca,12140474
Italy,2021/9/16,Pfizer/BioNTech,58154584
Italy,2021/9/17,Johnson&Johnson,1464444
Italy,2021/9/17,Moderna,10212631
Italy,2021/9/17,Oxford/AstraZeneca,12141090
Italy,2021/9/17,Pfizer/BioNTech,58325297
Italy,2021/9/18,Johnson&Johnson,1465408
Italy,2021/9/18,Moderna,10251574
Italy,2021/9/18,Oxford/AstraZeneca,12141581
Italy,2021/9/18,Pfizer/BioNTech,58491273
Italy,2021/9/19,Johnson&Johnson,1465932
Italy,2021/9/19,Moderna,10270959
Italy,2021/9/19,Oxford/AstraZeneca,12141811
Italy,2021/9/19,Pfizer/BioNTech,58601504
Italy,2021/9/20,Johnson&Johnson,1466847
Italy,2021/9/20,Moderna,10320874
Italy,2021/9/20,Oxford/AstraZeneca,12142702
Italy,2021/9/20,Pfizer/BioNTech,58814859
Italy,2021/9/21,Johnson&Johnson,1467960
Italy,2021/9/21,Moderna,10368670
Italy,2021/9/21,Oxford/AstraZeneca,12143375
Italy,2021/9/21,Pfizer/BioNTech,59019733
Italy,2021/9/22,Johnson&Johnson,1468878
Italy,2021/9/22,Moderna,10411527
Italy,2021/9/22,Oxford/AstraZeneca,12143973
Italy,2021/9/22,Pfizer/BioNTech,59225293
Italy,2021/9/23,Johnson&Johnson,1470016
Italy,2021/9/23,Moderna,10449227
Italy,2021/9/23,Oxford/AstraZeneca,12144531
Italy,2021/9/23,Pfizer/BioNTech,59413917
Italy,2021/9/24,Johnson&Johnson,1471050
Italy,2021/9/24,Moderna,10489702
Italy,2021/9/24,Oxford/AstraZeneca,12145308
Italy,2021/9/24,Pfizer/BioNTech,59604907
Italy,2021/9/25,Johnson&Johnson,1472098
Italy,2021/9/25,Moderna,10524280
Italy,2021/9/25,Oxford/AstraZeneca,12145836
Italy,2021/9/25,Pfizer/BioNTech,59772363
Italy,2021/9/26,Johnson&Johnson,1472804
Italy,2021/9/26,Moderna,10541781
Italy,2021/9/26,Oxford/AstraZeneca,12146122
Italy,2021/9/26,Pfizer/BioNTech,59875699
