Country,date,vaccine,total_vaccinations
France,2021/2/26,Pfizer/BioNTech,4169141
France,2021/2/27,Moderna,210319
France,2021/2/27,Oxford/AstraZeneca,294313
France,2021/2/27,Pfizer/BioNTech,4205546
France,2021/2/28,Moderna,210491
France,2021/2/28,Oxford/AstraZeneca,296710
France,2021/2/28,Pfizer/BioNTech,4213346
France,2021/3/1,Moderna,219314
France,2021/3/1,Oxford/AstraZeneca,316932
France,2021/3/1,Pfizer/BioNTech,4301706
France,2021/3/2,Moderna,230453
France,2021/3/2,Oxford/AstraZeneca,355572
France,2021/3/2,Pfizer/BioNTech,4418596
France,2021/3/3,Moderna,241764
France,2021/3/3,Oxford/AstraZeneca,404011
France,2021/3/3,Pfizer/BioNTech,4539650
France,2021/3/4,Moderna,253987
France,2021/3/4,Oxford/AstraZeneca,485966
France,2021/3/4,Pfizer/BioNTech,4676834
France,2021/3/5,Moderna,265951
France,2021/3/5,Oxford/AstraZeneca,603790
France,2021/3/5,Pfizer/BioNTech,4810095
France,2021/3/6,Moderna,272341
France,2021/3/6,Oxford/AstraZeneca,724160
France,2021/3/6,Pfizer/BioNTech,4908235
France,2021/3/7,Moderna,274713
France,2021/3/7,Oxford/AstraZeneca,779162
France,2021/3/7,Pfizer/BioNTech,4977061
France,2021/3/8,Moderna,287104
France,2021/3/8,Oxford/AstraZeneca,821751
France,2021/3/8,Pfizer/BioNTech,5079079
France,2021/3/9,Moderna,302919
France,2021/3/9,Oxford/AstraZeneca,900482
France,2021/3/9,Pfizer/BioNTech,5212730
France,2021/3/10,Moderna,319000
France,2021/3/10,Oxford/AstraZeneca,981092
France,2021/3/10,Pfizer/BioNTech,5350787
France,2021/3/11,Moderna,337463
France,2021/3/11,Oxford/AstraZeneca,1109213
France,2021/3/11,Pfizer/BioNTech,5508828
France,2021/3/12,Moderna,353482
France,2021/3/12,Oxford/AstraZeneca,1291624
France,2021/3/12,Pfizer/BioNTech,5657421
France,2021/3/13,Moderna,365966
France,2021/3/13,Oxford/AstraZeneca,1423537
France,2021/3/13,Pfizer/BioNTech,5758680
France,2021/3/14,Moderna,371174
France,2021/3/14,Oxford/AstraZeneca,1437483
France,2021/3/14,Pfizer/BioNTech,5805842
France,2021/3/15,Moderna,385451
France,2021/3/15,Oxford/AstraZeneca,1489448
France,2021/3/15,Pfizer/BioNTech,5929670
France,2021/3/16,Moderna,406710
France,2021/3/16,Oxford/AstraZeneca,1490511
France,2021/3/16,Pfizer/BioNTech,6087459
France,2021/3/17,Moderna,430743
France,2021/3/17,Oxford/AstraZeneca,1491308
France,2021/3/17,Pfizer/BioNTech,6250938
France,2021/3/18,Moderna,458848
France,2021/3/18,Oxford/AstraZeneca,1492700
France,2021/3/18,Pfizer/BioNTech,6432764
France,2021/3/19,Moderna,486522
France,2021/3/19,Oxford/AstraZeneca,1562925
France,2021/3/19,Pfizer/BioNTech,6601177
France,2021/3/20,Moderna,513383
France,2021/3/20,Oxford/AstraZeneca,1627985
France,2021/3/20,Pfizer/BioNTech,6686952
France,2021/3/21,Moderna,531125
France,2021/3/21,Oxford/AstraZeneca,1633623
France,2021/3/21,Pfizer/BioNTech,6715618
France,2021/3/22,Moderna,551826
France,2021/3/22,Oxford/AstraZeneca,1670890
France,2021/3/22,Pfizer/BioNTech,6860782
France,2021/3/23,Moderna,578508
France,2021/3/23,Oxford/AstraZeneca,1755270
France,2021/3/23,Pfizer/BioNTech,7041135
France,2021/3/24,Moderna,607267
France,2021/3/24,Oxford/AstraZeneca,1846020
France,2021/3/24,Pfizer/BioNTech,7221037
France,2021/3/25,Moderna,638835
France,2021/3/25,Oxford/AstraZeneca,1995851
France,2021/3/25,Pfizer/BioNTech,7424856
France,2021/3/26,Moderna,669900
France,2021/3/26,Oxford/AstraZeneca,2161073
France,2021/3/26,Pfizer/BioNTech,7627988
France,2021/3/27,Moderna,687024
France,2021/3/27,Oxford/AstraZeneca,2229397
France,2021/3/27,Pfizer/BioNTech,7753689
France,2021/3/28,Moderna,697626
France,2021/3/28,Oxford/AstraZeneca,2235780
France,2021/3/28,Pfizer/BioNTech,7799346
France,2021/3/29,Moderna,720748
France,2021/3/29,Oxford/AstraZeneca,2289758
France,2021/3/29,Pfizer/BioNTech,7978547
France,2021/3/30,Moderna,751133
France,2021/3/30,Oxford/AstraZeneca,2382735
France,2021/3/30,Pfizer/BioNTech,8208946
France,2021/3/31,Moderna,785474
France,2021/3/31,Oxford/AstraZeneca,2446081
France,2021/3/31,Pfizer/BioNTech,8445886
France,2021/4/1,Moderna,828259
France,2021/4/1,Oxford/AstraZeneca,2531993
France,2021/4/1,Pfizer/BioNTech,8718146
France,2021/4/2,Moderna,865727
France,2021/4/2,Oxford/AstraZeneca,2618814
France,2021/4/2,Pfizer/BioNTech,8965960
France,2021/4/3,Moderna,886157
France,2021/4/3,Oxford/AstraZeneca,2654629
France,2021/4/3,Pfizer/BioNTech,9111753
France,2021/4/4,Moderna,896313
France,2021/4/4,Oxford/AstraZeneca,2658123
France,2021/4/4,Pfizer/BioNTech,9162158
France,2021/4/5,Moderna,909402
France,2021/4/5,Oxford/AstraZeneca,2662508
France,2021/4/5,Pfizer/BioNTech,9215390
France,2021/4/6,Moderna,943270
France,2021/4/6,Oxford/AstraZeneca,2692063
France,2021/4/6,Pfizer/BioNTech,9475384
France,2021/4/7,Moderna,981176
France,2021/4/7,Oxford/AstraZeneca,2724193
France,2021/4/7,Pfizer/BioNTech,9779173
France,2021/4/8,Moderna,1026687
France,2021/4/8,Oxford/AstraZeneca,2802981
France,2021/4/8,Pfizer/BioNTech,10112008
France,2021/4/9,Moderna,1068953
France,2021/4/9,Oxford/AstraZeneca,2964833
France,2021/4/9,Pfizer/BioNTech,10432614
France,2021/4/10,Moderna,1097490
France,2021/4/10,Oxford/AstraZeneca,3040686
