,location,date,vaccine,total_vaccinations
16456,European Union,2021/3/23,Pfizer/BioNTech,45903399
16457,European Union,2021/3/23,Sinopharm/Beijing,505062
16458,European Union,2021/3/23,Sputnik V,143314
16459,European Union,2021/3/24,Johnson&Johnson,337
16460,European Union,2021/3/24,Moderna,3388822
16461,European Union,2021/3/24,Oxford/AstraZeneca,11085911
16462,European Union,2021/3/24,Pfizer/BioNTech,46526644
16463,European Union,2021/3/24,Sinopharm/Beijing,505062
16464,European Union,2021/3/24,Sputnik V,143314
16465,European Union,2021/3/25,Johnson&Johnson,338
16466,European Union,2021/3/25,Moderna,3476489
16467,European Union,2021/3/25,Oxford/AstraZeneca,11457183
16468,European Union,2021/3/25,Pfizer/BioNTech,47166948
16469,European Union,2021/3/25,Sinopharm/Beijing,505062
16470,European Union,2021/3/25,Sputnik V,143314
16471,European Union,2021/3/26,Johnson&Johnson,390
16472,European Union,2021/3/26,Moderna,3968469
16473,European Union,2021/3/26,Oxford/AstraZeneca,13314734
16474,European Union,2021/3/26,Pfizer/BioNTech,50490463
16475,European Union,2021/3/26,Sinopharm/Beijing,687323
16476,European Union,2021/3/26,Sputnik V,233879
16477,European Union,2021/3/27,Johnson&Johnson,396
16478,European Union,2021/3/27,Moderna,4048788
16479,European Union,2021/3/27,Oxford/AstraZeneca,13565375
16480,European Union,2021/3/27,Pfizer/BioNTech,50966359
16481,European Union,2021/3/27,Sinopharm/Beijing,687323
16482,European Union,2021/3/27,Sputnik V,233879
16483,European Union,2021/3/28,Johnson&Johnson,397
16484,European Union,2021/3/28,Moderna,4101188
16485,European Union,2021/3/28,Oxford/AstraZeneca,13698740
16486,European Union,2021/3/28,Pfizer/BioNTech,51268188
16487,European Union,2021/3/28,Sinopharm/Beijing,687323
16488,European Union,2021/3/28,Sputnik V,233879
16489,European Union,2021/3/29,Johnson&Johnson,399
16490,European Union,2021/3/29,Moderna,4184806
16491,European Union,2021/3/29,Oxford/AstraZeneca,13930955
16492,European Union,2021/3/29,Pfizer/BioNTech,51853471
16493,European Union,2021/3/29,Sinopharm/Beijing,687323
16494,European Union,2021/3/29,Sputnik V,233879
16495,European Union,2021/3/30,Johnson&Johnson,405
16496,European Union,2021/3/30,Moderna,4283585
16497,European Union,2021/3/30,Oxford/AstraZeneca,14201167
16498,European Union,2021/3/30,Pfizer/BioNTech,52555029
16499,European Union,2021/3/30,Sinopharm/Beijing,687323
16500,European Union,2021/3/30,Sputnik V,233879
16501,European Union,2021/3/31,Johnson&Johnson,427
16502,European Union,2021/3/31,Moderna,4394204
16503,European Union,2021/3/31,Oxford/AstraZeneca,14404256
16504,European Union,2021/3/31,Pfizer/BioNTech,53335034
16505,European Union,2021/3/31,Sinopharm/Beijing,687323
16506,European Union,2021/3/31,Sputnik V,233879
16507,European Union,2021/4/1,Johnson&Johnson,435
16508,European Union,2021/4/1,Moderna,4511371
16509,European Union,2021/4/1,Oxford/AstraZeneca,14614722
16510,European Union,2021/4/1,Pfizer/BioNTech,54144668
16511,European Union,2021/4/1,Sinopharm/Beijing,687323
16512,European Union,2021/4/1,Sputnik V,233879
16513,European Union,2021/4/2,Johnson&Johnson,577
16514,European Union,2021/4/2,Moderna,5124461
16515,European Union,2021/4/2,Oxford/AstraZeneca,16205093
16516,European Union,2021/4/2,Pfizer/BioNTech,57694699
16517,European Union,2021/4/2,Sinopharm/Beijing,885907
16518,European Union,2021/4/2,Sputnik V,388391
16519,European Union,2021/4/3,Johnson&Johnson,581
16520,European Union,2021/4/3,Moderna,5203875
16521,European Union,2021/4/3,Oxford/AstraZeneca,16339606
16522,European Union,2021/4/3,Pfizer/BioNTech,58219360
16523,European Union,2021/4/3,Sinopharm/Beijing,885907
16524,European Union,2021/4/3,Sputnik V,388391
16525,European Union,2021/4/4,Johnson&Johnson,583
16526,European Union,2021/4/4,Moderna,5241791
16527,European Union,2021/4/4,Oxford/AstraZeneca,16438118
16528,European Union,2021/4/4,Pfizer/BioNTech,58497906
16529,European Union,2021/4/4,Sinopharm/Beijing,885907
16530,European Union,2021/4/4,Sputnik V,388391
16531,European Union,2021/4/5,Johnson&Johnson,591
16532,European Union,2021/4/5,Moderna,5298496
16533,European Union,2021/4/5,Oxford/AstraZeneca,16573737
16534,European Union,2021/4/5,Pfizer/BioNTech,58859584
16535,European Union,2021/4/5,Sinopharm/Beijing,885907
16536,European Union,2021/4/5,Sputnik V,388391
16537,European Union,2021/4/6,Johnson&Johnson,636
16538,European Union,2021/4/6,Moderna,5420357
16539,European Union,2021/4/6,Oxford/AstraZeneca,16785831
16540,European Union,2021/4/6,Pfizer/BioNTech,59615644
16541,European Union,2021/4/6,Sinopharm/Beijing,885907
16542,European Union,2021/4/6,Sputnik V,388391
16543,European Union,2021/4/7,Johnson&Johnson,651
16544,European Union,2021/4/7,Moderna,5541337
16545,European Union,2021/4/7,Oxford/AstraZeneca,17007868
16546,European Union,2021/4/7,Pfizer/BioNTech,60760187
16547,European Union,2021/4/7,Sinopharm/Beijing,885907
16548,European Union,2021/4/7,Sputnik V,388391
16549,European Union,2021/4/8,Johnson&Johnson,665
16550,European Union,2021/4/8,Moderna,5670535
16551,European Union,2021/4/8,Oxford/AstraZeneca,17255377
16552,European Union,2021/4/8,Pfizer/BioNTech,62014128
16553,European Union,2021/4/8,Sinopharm/Beijing,885907
16554,European Union,2021/4/8,Sputnik V,388391
16555,European Union,2021/4/9,Johnson&Johnson,925
16556,European Union,2021/4/9,Moderna,6296578
16557,European Union,2021/4/9,Oxford/AstraZeneca,19639315
16558,European Union,2021/4/9,Pfizer/BioNTech,67184851
16559,European Union,2021/4/9,Sinopharm/Beijing,1013005
16560,European Union,2021/4/9,Sputnik V,676266
16561,European Union,2021/4/10,Johnson&Johnson,934
16562,European Union,2021/4/10,Moderna,6398940
16563,European Union,2021/4/10,Oxford/AstraZeneca,19885455
16564,European Union,2021/4/10,Pfizer/BioNTech,67919953
16565,European Union,2021/4/10,Sinopharm/Beijing,1013005
16566,European Union,2021/4/10,Sputnik V,676266
16567,European Union,2021/4/11,Johnson&Johnson,944
16568,European Union,2021/4/11,Moderna,6456454
16569,European Union,2021/4/11,Oxford/AstraZeneca,20007946
16570,European Union,2021/4/11,Pfizer/BioNTech,68373627
16571,European Union,2021/4/11,Sinopharm/Beijing,1013005
16572,European Union,2021/4/11,Sputnik V,676266
16573,European Union,2021/4/12,Johnson&Johnson,951
16574,European Union,2021/4/12,Moderna,6556517
16575,European Union,2021/4/12,Oxford/AstraZeneca,20267612
16576,European Union,2021/4/12,Pfizer/BioNTech,69180777
16577,European Union,2021/4/12,Sinopharm/Beijing,1013005
16578,European Union,2021/4/12,Sputnik V,676266
16579,European Union,2021/4/13,Johnson&Johnson,954
16580,European Union,2021/4/13,Moderna,6668014
16581,European Union,2021/4/13,Oxford/AstraZeneca,20588375
16582,European Union,2021/4/13,Pfizer/BioNTech,70211783
16583,European Union,2021/4/13,Sinopharm/Beijing,1013005
16584,European Union,2021/4/13,Sputnik V,676266
16585,European Union,2021/4/14,Johnson&Johnson,956
16586,European Union,2021/4/14,Moderna,6784336
16587,European Union,2021/4/14,Oxford/AstraZeneca,20904629
16588,European Union,2021/4/14,Pfizer/BioNTech,71462345
16589,European Union,2021/4/14,Sinopharm/Beijing,1013005
16590,European Union,2021/4/14,Sputnik V,676266
16591,European Union,2021/4/15,Johnson&Johnson,957
16592,European Union,2021/4/15,Moderna,6908951
16593,European Union,2021/4/15,Oxford/AstraZeneca,21219396
16594,European Union,2021/4/15,Pfizer/BioNTech,72699939
16595,European Union,2021/4/15,Sinopharm/Beijing,1013005
16596,European Union,2021/4/15,Sputnik V,676266
16597,European Union,2021/4/16,Johnson&Johnson,26410
16598,European Union,2021/4/16,Moderna,7629019
16599,European Union,2021/4/16,Oxford/AstraZeneca,23549358
16600,European Union,2021/4/16,Pfizer/BioNTech,78592408
16601,European Union,2021/4/16,Sinopharm/Beijing,1030350
16602,European Union,2021/4/16,Sputnik V,924750
16603,European Union,2021/4/17,Johnson&Johnson,26410
16604,European Union,2021/4/17,Moderna,7721919
16605,European Union,2021/4/17,Oxford/AstraZeneca,23846179
16606,European Union,2021/4/17,Pfizer/BioNTech,79321216
16607,European Union,2021/4/17,Sinopharm/Beijing,1030350
16608,European Union,2021/4/17,Sputnik V,924750
16609,European Union,2021/4/18,Johnson&Johnson,26412
16610,European Union,2021/4/18,Moderna,7780739
16611,European Union,2021/4/18,Oxford/AstraZeneca,24020130
16612,European Union,2021/4/18,Pfizer/BioNTech,79778373
16613,European Union,2021/4/18,Sinopharm/Beijing,1030350
16614,European Union,2021/4/18,Sputnik V,924750
16615,European Union,2021/4/19,Johnson&Johnson,26415
16616,European Union,2021/4/19,Moderna,7880051
16617,European Union,2021/4/19,Oxford/AstraZeneca,24234486
16618,European Union,2021/4/19,Pfizer/BioNTech,80661443
16619,European Union,2021/4/19,Sinopharm/Beijing,1030350
16620,European Union,2021/4/19,Sputnik V,924750
16621,European Union,2021/4/20,Johnson&Johnson,26418
16622,European Union,2021/4/20,Moderna,8004941
16623,European Union,2021/4/20,Oxford/AstraZeneca,24535220
16624,European Union,2021/4/20,Pfizer/BioNTech,81710742
16625,European Union,2021/4/20,Sinopharm/Beijing,1030350
16626,European Union,2021/4/20,Sputnik V,924750
16627,European Union,2021/4/21,Johnson&Johnson,26422
16628,European Union,2021/4/21,Moderna,8140728
16629,European Union,2021/4/21,Oxford/AstraZeneca,24920870
16630,European Union,2021/4/21,Pfizer/BioNTech,82870658
16631,European Union,2021/4/21,Sinopharm/Beijing,1030350
16632,European Union,2021/4/21,Sputnik V,924750
16633,European Union,2021/4/22,Johnson&Johnson,26742
16634,European Union,2021/4/22,Moderna,8288565
16635,European Union,2021/4/22,Oxford/AstraZeneca,25300379
16636,European Union,2021/4/22,Pfizer/BioNTech,84026766
16637,European Union,2021/4/22,Sinopharm/Beijing,1030350
16638,European Union,2021/4/22,Sputnik V,924750
16639,European Union,2021/4/23,Johnson&Johnson,126864
16640,European Union,2021/4/23,Moderna,9206062
16641,European Union,2021/4/23,Oxford/AstraZeneca,26858758
16642,European Union,2021/4/23,Pfizer/BioNTech,90268109
16643,European Union,2021/4/23,Sinopharm/Beijing,1051731
16644,European Union,2021/4/23,Sputnik V,1097161
16645,European Union,2021/4/24,Johnson&Johnson,131471
16646,European Union,2021/4/24,Moderna,9351330
16647,European Union,2021/4/24,Oxford/AstraZeneca,27083256
16648,European Union,2021/4/24,Pfizer/BioNTech,91067928
16649,European Union,2021/4/24,Sinopharm/Beijing,1051731
16650,European Union,2021/4/24,Sputnik V,1097161
16651,European Union,2021/4/25,Johnson&Johnson,140361
16652,European Union,2021/4/25,Moderna,9447237
16653,European Union,2021/4/25,Oxford/AstraZeneca,27235209
16654,European Union,2021/4/25,Pfizer/BioNTech,91567838
16655,European Union,2021/4/25,Sinopharm/Beijing,1051731
16656,European Union,2021/4/25,Sputnik V,1097161
16657,European Union,2021/4/26,Johnson&Johnson,153187
16658,European Union,2021/4/26,Moderna,9578859
16659,European Union,2021/4/26,Oxford/AstraZeneca,27409764
16660,European Union,2021/4/26,Pfizer/BioNTech,92546139
16661,European Union,2021/4/26,Sinopharm/Beijing,1051731
16662,European Union,2021/4/26,Sputnik V,1097161
16663,European Union,2021/4/27,Johnson&Johnson,174038
16664,European Union,2021/4/27,Moderna,9746837
16665,European Union,2021/4/27,Oxford/AstraZeneca,27589239
16666,European Union,2021/4/27,Pfizer/BioNTech,93962330
16667,European Union,2021/4/27,Sinopharm/Beijing,1051731
16668,European Union,2021/4/27,Sputnik V,1097161
16669,European Union,2021/4/28,Johnson&Johnson,195231
16670,European Union,2021/4/28,Moderna,9932015
16671,European Union,2021/4/28,Oxford/AstraZeneca,27769694
16672,European Union,2021/4/28,Pfizer/BioNTech,95761914
16673,European Union,2021/4/28,Sinopharm/Beijing,1051731
16674,European Union,2021/4/28,Sputnik V,1097161
16675,European Union,2021/4/29,Johnson&Johnson,223882
16676,European Union,2021/4/29,Moderna,10126699
16677,European Union,2021/4/29,Oxford/AstraZeneca,27985282
16678,European Union,2021/4/29,Pfizer/BioNTech,97528870
16679,European Union,2021/4/29,Sinopharm/Beijing,1051731
16680,European Union,2021/4/29,Sputnik V,1097161
16681,European Union,2021/4/30,Johnson&Johnson,453660
16682,European Union,2021/4/30,Moderna,10981654
16683,European Union,2021/4/30,Oxford/AstraZeneca,29304247
16684,European Union,2021/4/30,Pfizer/BioNTech,105323952
16685,European Union,2021/4/30,Sinopharm/Beijing,1391195
16686,European Union,2021/4/30,Sputnik V,1302893
16687,European Union,2021/5/1,Johnson&Johnson,476186
16688,European Union,2021/5/1,Moderna,11097802
16689,European Union,2021/5/1,Oxford/AstraZeneca,29429359
16690,European Union,2021/5/1,Pfizer/BioNTech,106138475
16691,European Union,2021/5/1,Sinopharm/Beijing,1391195
16692,European Union,2021/5/1,Sputnik V,1302893
16693,European Union,2021/5/2,Johnson&Johnson,490085
16694,European Union,2021/5/2,Moderna,11186801
16695,European Union,2021/5/2,Oxford/AstraZeneca,29531415
16696,European Union,2021/5/2,Pfizer/BioNTech,106762341
16697,European Union,2021/5/2,Sinopharm/Beijing,1391195
16698,European Union,2021/5/2,Sputnik V,1302893
16699,European Union,2021/5/3,Johnson&Johnson,509762
16700,European Union,2021/5/3,Moderna,11346724
16701,European Union,2021/5/3,Oxford/AstraZeneca,29711310
16702,European Union,2021/5/3,Pfizer/BioNTech,107866239
16703,European Union,2021/5/3,Sinopharm/Beijing,1391195
16704,European Union,2021/5/3,Sputnik V,1302893
16705,European Union,2021/5/4,Johnson&Johnson,534889
16706,European Union,2021/5/4,Moderna,11532558
16707,European Union,2021/5/4,Oxford/AstraZeneca,30022469
16708,European Union,2021/5/4,Pfizer/BioNTech,109346843
16709,European Union,2021/5/4,Sinopharm/Beijing,1391195
16710,European Union,2021/5/4,Sputnik V,1302893
16711,European Union,2021/5/5,Johnson&Johnson,562232
16712,European Union,2021/5/5,Moderna,11731415
16713,European Union,2021/5/5,Oxford/AstraZeneca,30406904
16714,European Union,2021/5/5,Pfizer/BioNTech,111112085
16715,European Union,2021/5/5,Sinopharm/Beijing,1391195
16716,European Union,2021/5/5,Sputnik V,1302893
16717,European Union,2021/5/6,Johnson&Johnson,594231
16718,European Union,2021/5/6,Moderna,11949270
16719,European Union,2021/5/6,Oxford/AstraZeneca,30794689
16720,European Union,2021/5/6,Pfizer/BioNTech,112816770
16721,European Union,2021/5/6,Sinopharm/Beijing,1391195
16722,European Union,2021/5/6,Sputnik V,1302893
16723,European Union,2021/5/7,Johnson&Johnson,843682
16724,European Union,2021/5/7,Moderna,13083057
16725,European Union,2021/5/7,Oxford/AstraZeneca,33032654
16726,European Union,2021/5/7,Pfizer/BioNTech,121242061
16727,European Union,2021/5/7,Sinopharm/Beijing,1464478
16728,European Union,2021/5/7,Sputnik V,1520581
16729,European Union,2021/5/8,Johnson&Johnson,865796
16730,European Union,2021/5/8,Moderna,13260087
16731,European Union,2021/5/8,Oxford/AstraZeneca,33245381
16732,European Union,2021/5/8,Pfizer/BioNTech,122212872
16733,European Union,2021/5/8,Sinopharm/Beijing,1464478
16734,European Union,2021/5/8,Sputnik V,1520581
16735,European Union,2021/5/9,Johnson&Johnson,876848
16736,European Union,2021/5/9,Moderna,13381577
16737,European Union,2021/5/9,Oxford/AstraZeneca,33381954
16738,European Union,2021/5/9,Pfizer/BioNTech,122921224
16739,European Union,2021/5/9,Sinopharm/Beijing,1464478
16740,European Union,2021/5/9,Sputnik V,1520581
16741,European Union,2021/5/10,Johnson&Johnson,899576
16742,European Union,2021/5/10,Moderna,13575924
16743,European Union,2021/5/10,Oxford/AstraZeneca,33665469
16744,European Union,2021/5/10,Pfizer/BioNTech,124179176
16745,European Union,2021/5/10,Sinopharm/Beijing,1464478
16746,European Union,2021/5/10,Sputnik V,1520581
16747,European Union,2021/5/11,Johnson&Johnson,933130
16748,European Union,2021/5/11,Moderna,13802644
16749,European Union,2021/5/11,Oxford/AstraZeneca,34015350
16750,European Union,2021/5/11,Pfizer/BioNTech,125981820
16751,European Union,2021/5/11,Sinopharm/Beijing,1464478
16752,European Union,2021/5/11,Sputnik V,1520581
16753,European Union,2021/5/12,Johnson&Johnson,964016
16754,European Union,2021/5/12,Moderna,14046040
16755,European Union,2021/5/12,Oxford/AstraZeneca,34403650
16756,European Union,2021/5/12,Pfizer/BioNTech,128102163
16757,European Union,2021/5/12,Sinopharm/Beijing,1464478
16758,European Union,2021/5/12,Sputnik V,1520581
16759,European Union,2021/5/13,Johnson&Johnson,982882
16760,European Union,2021/5/13,Moderna,14236656
16761,European Union,2021/5/13,Oxford/AstraZeneca,34563652
16762,European Union,2021/5/13,Pfizer/BioNTech,129302414
16763,European Union,2021/5/13,Sinopharm/Beijing,1464478
16764,European Union,2021/5/13,Sputnik V,1520581
16765,European Union,2021/5/14,Johnson&Johnson,1251647
16766,European Union,2021/5/14,Moderna,15651367
16767,European Union,2021/5/14,Oxford/AstraZeneca,36314157
16768,European Union,2021/5/14,Pfizer/BioNTech,138009416
16769,European Union,2021/5/14,Sinopharm/Beijing,1515513
16770,European Union,2021/5/14,Sputnik V,1609566
16771,European Union,2021/5/15,Johnson&Johnson,1280128
16772,European Union,2021/5/15,Moderna,15848945
16773,European Union,2021/5/15,Oxford/AstraZeneca,36505692
16774,European Union,2021/5/15,Pfizer/BioNTech,139170440
16775,European Union,2021/5/15,Sinopharm/Beijing,1515513
16776,European Union,2021/5/15,Sputnik V,1609566
16777,European Union,2021/5/16,Johnson&Johnson,1302994
16778,European Union,2021/5/16,Moderna,15989642
16779,European Union,2021/5/16,Oxford/AstraZeneca,36622064
16780,European Union,2021/5/16,Pfizer/BioNTech,139939547
16781,European Union,2021/5/16,Sinopharm/Beijing,1515513
16782,European Union,2021/5/16,Sputnik V,1609566
16783,European Union,2021/5/17,Johnson&Johnson,1340936
16784,European Union,2021/5/17,Moderna,16191404
16785,European Union,2021/5/17,Oxford/AstraZeneca,36867021
16786,European Union,2021/5/17,Pfizer/BioNTech,141187185
16787,European Union,2021/5/17,Sinopharm/Beijing,1515513
16788,European Union,2021/5/17,Sputnik V,1609566
16789,European Union,2021/5/18,Johnson&Johnson,1384046
16790,European Union,2021/5/18,Moderna,16432375
16791,European Union,2021/5/18,Oxford/AstraZeneca,37197426
16792,European Union,2021/5/18,Pfizer/BioNTech,142724280
16793,European Union,2021/5/18,Sinopharm/Beijing,1515513
16794,European Union,2021/5/18,Sputnik V,1609566
16795,European Union,2021/5/19,Johnson&Johnson,1430361
16796,European Union,2021/5/19,Moderna,16679520
16797,European Union,2021/5/19,Oxford/AstraZeneca,37538227
16798,European Union,2021/5/19,Pfizer/BioNTech,144496570
16799,European Union,2021/5/19,Sinopharm/Beijing,1515513
16800,European Union,2021/5/19,Sputnik V,1609566
16801,European Union,2021/5/20,Johnson&Johnson,1480949
16802,European Union,2021/5/20,Moderna,16915137
16803,European Union,2021/5/20,Oxford/AstraZeneca,37867439
16804,European Union,2021/5/20,Pfizer/BioNTech,146260661
16805,European Union,2021/5/20,Sinopharm/Beijing,1515513
16806,European Union,2021/5/20,Sputnik V,1609566
16807,European Union,2021/5/21,Johnson&Johnson,1936740
16808,European Union,2021/5/21,Moderna,18524363
16809,European Union,2021/5/21,Oxford/AstraZeneca,39527220
16810,European Union,2021/5/21,Pfizer/BioNTech,155056249
16811,European Union,2021/5/21,Sinopharm/Beijing,1556829
16812,European Union,2021/5/21,Sputnik V,1632758
16813,European Union,2021/5/22,Johnson&Johnson,1998507
16814,European Union,2021/5/22,Moderna,18737649
16815,European Union,2021/5/22,Oxford/AstraZeneca,39746445
16816,European Union,2021/5/22,Pfizer/BioNTech,156116184
16817,European Union,2021/5/22,Sinopharm/Beijing,1556829
16818,European Union,2021/5/22,Sputnik V,1632758
16819,European Union,2021/5/23,Johnson&Johnson,2046746
16820,European Union,2021/5/23,Moderna,18898092
16821,European Union,2021/5/23,Oxford/AstraZeneca,39843341
16822,European Union,2021/5/23,Pfizer/BioNTech,156767608
16823,European Union,2021/5/23,Sinopharm/Beijing,1556829
16824,European Union,2021/5/23,Sputnik V,1632758
16825,European Union,2021/5/24,Johnson&Johnson,2096454
16826,European Union,2021/5/24,Moderna,19066171
16827,European Union,2021/5/24,Oxford/AstraZeneca,39966489
16828,European Union,2021/5/24,Pfizer/BioNTech,157661629
16829,European Union,2021/5/24,Sinopharm/Beijing,1556829
16830,European Union,2021/5/24,Sputnik V,1632758
16831,European Union,2021/5/25,Johnson&Johnson,2168545
16832,European Union,2021/5/25,Moderna,19296823
16833,European Union,2021/5/25,Oxford/AstraZeneca,40243913
16834,European Union,2021/5/25,Pfizer/BioNTech,158980924
16835,European Union,2021/5/25,Sinopharm/Beijing,1556829
16836,European Union,2021/5/25,Sputnik V,1632758
16837,European Union,2021/5/26,Johnson&Johnson,2296535
16838,European Union,2021/5/26,Moderna,19538009
16839,European Union,2021/5/26,Oxford/AstraZeneca,40561448
16840,European Union,2021/5/26,Pfizer/BioNTech,160799229
16841,European Union,2021/5/26,Sinopharm/Beijing,1556829
16842,European Union,2021/5/26,Sputnik V,1632758
16843,European Union,2021/5/27,Johnson&Johnson,2425136
16844,European Union,2021/5/27,Moderna,19758455
16845,European Union,2021/5/27,Oxford/AstraZeneca,40895898
16846,European Union,2021/5/27,Pfizer/BioNTech,162611516
16847,European Union,2021/5/27,Sinopharm/Beijing,1556829
16848,European Union,2021/5/27,Sputnik V,1632758
16849,European Union,2021/5/28,Johnson&Johnson,3113277
16850,European Union,2021/5/28,Moderna,21195573
16851,European Union,2021/5/28,Oxford/AstraZeneca,42262382
16852,European Union,2021/5/28,Pfizer/BioNTech,171098818
16853,European Union,2021/5/28,Sinopharm/Beijing,1852676
16854,European Union,2021/5/28,Sputnik V,1694187
16855,European Union,2021/5/29,Johnson&Johnson,3178119
16856,European Union,2021/5/29,Moderna,21360089
16857,European Union,2021/5/29,Oxford/AstraZeneca,42468434
16858,European Union,2021/5/29,Pfizer/BioNTech,172181809
16859,European Union,2021/5/29,Sinopharm/Beijing,1852676
16860,European Union,2021/5/29,Sputnik V,1694187
16861,European Union,2021/5/30,Johnson&Johnson,3214622
16862,European Union,2021/5/30,Moderna,21456348
16863,European Union,2021/5/30,Oxford/AstraZeneca,42562878
16864,European Union,2021/5/30,Pfizer/BioNTech,172890068
16865,European Union,2021/5/30,Sinopharm/Beijing,1852676
16866,European Union,2021/5/30,Sputnik V,1694187
16867,European Union,2021/5/31,Johnson&Johnson,3336430
16868,European Union,2021/5/31,Moderna,21670462
16869,European Union,2021/5/31,Oxford/AstraZeneca,42761195
16870,European Union,2021/5/31,Pfizer/BioNTech,174122464
16871,European Union,2021/5/31,Sinopharm/Beijing,1852676
16872,European Union,2021/5/31,Sputnik V,1694187
16873,European Union,2021/6/1,Johnson&Johnson,3515526
16874,European Union,2021/6/1,Moderna,21913281
16875,European Union,2021/6/1,Oxford/AstraZeneca,43004502
16876,European Union,2021/6/1,Pfizer/BioNTech,175770289
16877,European Union,2021/6/1,Sinopharm/Beijing,1852676
16878,European Union,2021/6/1,Sputnik V,1694187
16879,European Union,2021/6/2,Johnson&Johnson,3683486
16880,European Union,2021/6/2,Moderna,22105188
16881,European Union,2021/6/2,Oxford/AstraZeneca,43202644
16882,European Union,2021/6/2,Pfizer/BioNTech,177710715
16883,European Union,2021/6/2,Sinopharm/Beijing,1852676
16884,European Union,2021/6/2,Sputnik V,1694187
16885,European Union,2021/6/3,Johnson&Johnson,3806979
16886,European Union,2021/6/3,Moderna,22313856
16887,European Union,2021/6/3,Oxford/AstraZeneca,43425502
16888,European Union,2021/6/3,Pfizer/BioNTech,179313092
16889,European Union,2021/6/3,Sinopharm/Beijing,1852676
16890,European Union,2021/6/3,Sputnik V,1694187
16891,European Union,2021/6/4,Johnson&Johnson,4582042
16892,European Union,2021/6/4,Moderna,23637879
16893,European Union,2021/6/4,Oxford/AstraZeneca,44914037
16894,European Union,2021/6/4,Pfizer/BioNTech,189353047
16895,European Union,2021/6/4,Sinopharm/Beijing,1932634
16896,European Union,2021/6/4,Sputnik V,1746818
16897,European Union,2021/6/5,Johnson&Johnson,4686006
16898,European Union,2021/6/5,Moderna,23813269
16899,European Union,2021/6/5,Oxford/AstraZeneca,45083461
16900,European Union,2021/6/5,Pfizer/BioNTech,190562517
16901,European Union,2021/6/5,Sinopharm/Beijing,1932634
16902,European Union,2021/6/5,Sputnik V,1746818
16903,European Union,2021/6/6,Johnson&Johnson,4759285
16904,European Union,2021/6/6,Moderna,23899000
16905,European Union,2021/6/6,Oxford/AstraZeneca,45187447
16906,European Union,2021/6/6,Pfizer/BioNTech,191390648
16907,European Union,2021/6/6,Sinopharm/Beijing,1932634
16908,European Union,2021/6/6,Sputnik V,1746818
16909,European Union,2021/6/7,Johnson&Johnson,4871436
16910,European Union,2021/6/7,Moderna,24094807
16911,European Union,2021/6/7,Oxford/AstraZeneca,45380942
16912,European Union,2021/6/7,Pfizer/BioNTech,192853910
16913,European Union,2021/6/7,Sinopharm/Beijing,1932634
16914,European Union,2021/6/7,Sputnik V,1746818
16915,European Union,2021/6/8,Johnson&Johnson,5008544
16916,European Union,2021/6/8,Moderna,24314194
16917,European Union,2021/6/8,Oxford/AstraZeneca,45589198
16918,European Union,2021/6/8,Pfizer/BioNTech,194795279
16919,European Union,2021/6/8,Sinopharm/Beijing,1932634
16920,European Union,2021/6/8,Sputnik V,1746818
16921,European Union,2021/6/9,Johnson&Johnson,5169291
16922,European Union,2021/6/9,Moderna,24538479
16923,European Union,2021/6/9,Oxford/AstraZeneca,45799281
16924,European Union,2021/6/9,Pfizer/BioNTech,197064363
16925,European Union,2021/6/9,Sinopharm/Beijing,1932634
16926,European Union,2021/6/9,Sputnik V,1746818
16927,European Union,2021/6/10,Johnson&Johnson,5319849
16928,European Union,2021/6/10,Moderna,24748366
16929,European Union,2021/6/10,Oxford/AstraZeneca,46015940
16930,European Union,2021/6/10,Pfizer/BioNTech,199185513
16931,European Union,2021/6/10,Sinopharm/Beijing,1932634
16932,European Union,2021/6/10,Sputnik V,1746818
16933,European Union,2021/6/11,Johnson&Johnson,5994372
16934,European Union,2021/6/11,Moderna,26304656
16935,European Union,2021/6/11,Oxford/AstraZeneca,47793289
16936,European Union,2021/6/11,Pfizer/BioNTech,210332663
16937,European Union,2021/6/11,Sinopharm/Beijing,1988148
16938,European Union,2021/6/11,Sputnik V,1772391
16939,European Union,2021/6/12,Johnson&Johnson,6058627
16940,European Union,2021/6/12,Moderna,26477721
16941,European Union,2021/6/12,Oxford/AstraZeneca,47909029
16942,European Union,2021/6/12,Pfizer/BioNTech,211576365
16943,European Union,2021/6/12,Sinopharm/Beijing,1988148
16944,European Union,2021/6/12,Sputnik V,1772391
16945,European Union,2021/6/13,Johnson&Johnson,6083162
16946,European Union,2021/6/13,Moderna,26605527
16947,European Union,2021/6/13,Oxford/AstraZeneca,47957588
16948,European Union,2021/6/13,Pfizer/BioNTech,212347743
16949,European Union,2021/6/13,Sinopharm/Beijing,1988148
16950,European Union,2021/6/13,Sputnik V,1772391
16951,European Union,2021/6/14,Johnson&Johnson,6161080
16952,European Union,2021/6/14,Moderna,26823458
16953,European Union,2021/6/14,Oxford/AstraZeneca,48110680
16954,European Union,2021/6/14,Pfizer/BioNTech,213840442
16955,European Union,2021/6/14,Sinopharm/Beijing,1988148
16956,European Union,2021/6/14,Sputnik V,1772391
16957,European Union,2021/6/15,Johnson&Johnson,6249147
16958,European Union,2021/6/15,Moderna,27081486
16959,European Union,2021/6/15,Oxford/AstraZeneca,48327854
16960,European Union,2021/6/15,Pfizer/BioNTech,215716374
16961,European Union,2021/6/15,Sinopharm/Beijing,1988148
